Country Name,year,hydro_share,solar_share,wind_share,other_share
Belgium,2000,0.44061302681992337,0.0,0.01532567049808429,0.5440613026819923
China,2000,0.9860395709769801,9.753550002919636e-05,0.0026152769968964956,0.011247616526094144
Germany,2000,0.6587301587301587,0.0,0.25132275132275134,0.08994708994708996
Denmark,2000,0.005419756945077547,0.0002153545805991078,0.7611348726974467,0.23323001577687658
Finland,2000,0.6270691732152835,6.741207482860074e-05,0.003336384414105874,0.36952703029578204
France,2000,0.9562085606529902,7.526055730498517e-05,0.0006916204950249918,0.0430245582946797
Greece,2000,0.8911679536679536,0.0,0.10883204633204634,0.0
Indonesia,2000,0.6727385078316004,0.0,0.0,0.32726149216839956
Ireland,2000,0.7138872899557526,0.0,0.20593363200824882,0.08017907803599851
Luxembourg,2000,0.723773580482774,0.00023441300054501037,0.1450020218121298,0.13098998470455178
Mexico,2000,0.8381976214868273,0.000177396965624903,0.0004815060495533081,0.16114347549799446
Malaysia,2000,0.9245326741136006,0.0,0.0,0.07546732588639934
Poland,2000,0.9030874785591767,0.0,0.002144082332761578,0.09476843910806175
Portugal,2000,0.8799073699916075,0.00010879363401821517,0.01305523608218582,0.10692860029218862
Sweden,2000,0.9452008660091412,1.2027904738994467e-05,0.0054967524657204715,0.049290353620399324
Turkey,2000,0.9911759230132184,0.0,0.0010721141191651633,0.007751962867616375
United States,2000,0.7894400118688493,0.0015007061974101124,0.01635182481688164,0.19270745711685883
World,2000,0.9241104314422987,0.00036946084074871447,0.01096707015946994,0.06455303755748266
South Africa,2000,0.693412229929743,0.005857161589263331,0.0,0.30073060848099364
Belgium,2023,0.014597350405048526,0.27271879138298843,0.5833528855234135,0.12933097268854954
China,2023,0.4236129526431149,0.20183883732564725,0.3060908513595329,0.06845735867170495
Germany,2023,0.07208321557429097,0.2246879232443503,0.5215765152377142,0.1816523459436445
Denmark,2023,0.0006655103889533725,0.117554780269481,0.6557024667174264,0.2260772426241391
Finland,2023,0.3625057091877747,0.01589357026570908,0.35924402268873656,0.2623566978577797
France,2023,0.3971930678040429,0.15915379649532332,0.3742216451918855,0.06943149050874828
Greece,2023,0.1633584209184454,0.35176729886970265,0.45582255892386453,0.029051721287987498
Indonesia,2023,0.37717980862457906,0.01093453315063862,0.007377937696153823,0.6045077205286284
Ireland,2023,0.06728278651270785,0.029915371415986807,0.8350712029014968,0.06773063916980841
Luxembourg,2023,0.08508702219144981,0.2843416458501228,0.43787589652146625,0.1926954354369612
Mexico,2023,0.267380875200643,0.35577530738958985,0.28378534927051474,0.09305846813925236
Malaysia,2023,0.8756913667120524,0.09001007916100733,0.0,0.03429855412694017
Poland,2023,0.051599132062462735,0.25125917478752136,0.5195827276381949,0.17755896551182107
Portugal,2023,0.35300811110462743,0.15971290190815196,0.3838769913053627,0.10340199568185797
Sweden,2023,0.5752309455343794,0.026985601987979998,0.2989540161161012,0.09882943636153947
Turkey,2023,0.4629365887734472,0.14875978929273131,0.24700207107114264,0.1413015508626788
United States,2023,0.24271255724773516,0.24703021259807278,0.4411472813702471,0.06910994878394504
World,2023,0.4717207361957812,0.1826329193044362,0.2587009547483862,0.0869453897513965
South Africa,2023,0.0839567991607309,0.31895020625556364,0.5766841298535812,0.020408864730124272
