Country Name,renewables_production_per_capita,co2_per_capita,gdp_per_capita,cluster
United Arab Emirates,1.3197135010169548e-06,21.554457,76110.3848456483,2.0
Argentina,1.0962597984061848e-06,4.2998033,30082.3045247323,3.0
Australia,3.572875718876829e-06,14.478505,70497.1524466689,2.0
Austria,6.1998419362924635e-06,6.415725,70478.7873635411,0.0
Azerbaijan,1.9804100036655657e-07,4.2582173,23597.8378621757,3.0
Belgium,2.279802062757907e-06,7.1177025,69072.8333852392,0.0
Bangladesh,1.1502654475943154e-08,0.6615086,9147.77750665547,3.0
Bulgaria,1.5562395099677412e-06,5.311196,37507.7733965202,0.0
Belarus,1.233933208531691e-07,6.197136,30763.0198215957,3.0
Brazil,2.9907869362334163e-06,2.3040092,21107.2821033791,3.0
Canada,1.0503301693079572e-05,13.977411,63524.7038742635,2.0
Switzerland,5.0829754312876784e-06,3.6905727,89546.278488259,0.0
Chile,2.9495735276276547e-06,3.9314575,32802.8722248605,3.0
China,2.051549028503378e-06,8.366814,24569.2865118726,3.0
Colombia,1.2294268864722244e-06,2.0114,20784.4996427902,3.0
Cyprus,8.056599522965465e-07,5.3342433,57213.8203125,0.0
Czechia,9.572857533135458e-07,7.92107,53217.4217427742,0.0
Germany,3.2714817483189242e-06,7.051025,69205.8830713936,0.0
Denmark,4.9737650245033086e-06,4.5837965,73737.4475447105,0.0
Algeria,1.5894994346162337e-08,3.8586802,16824.4879032987,3.0
Ecuador,1.4434977858556049e-06,2.4011562,16062.0163648341,3.0
Spain,2.936162359448423e-06,4.6255174,53229.9220217947,0.0
Estonia,2.0989936553391042e-06,7.3282313,46790.2700170266,0.0
Finland,7.495703423639811e-06,5.6456437,61734.459805757,0.0
France,2.047036655485653e-06,4.101157,58317.828030698,0.0
United Kingdom,1.975135332845648e-06,4.4428277,58225.131161573,0.0
Greece,2.3220509662692777e-06,5.388754,41181.9912164326,0.0
Croatia,3.098559551217379e-06,4.497998,45602.960114716,0.0
Hungary,9.295320169980024e-07,4.1491246,45021.3009970981,0.0
Indonesia,2.318516108892282e-07,2.6075745,15415.6057934697,3.0
India,2.6560924732880594e-07,2.129469,10166.2434105835,3.0
Ireland,2.6146783687542392e-06,6.6260405,124900.938635241,2.0
Iraq,8.452875711254607e-08,3.9148493,14107.2979268389,3.0
Iceland,5.1440381986480196e-05,9.708997,76356.8105649868,1.0
Israel,8.281470560441138e-07,6.4269466,54057.0484059067,0.0
Italy,1.9322726793090254e-06,5.2682986,57801.3662624471,0.0
Japan,1.7953197825351067e-06,7.95029,49793.9358226161,0.0
Kazakhstan,7.087233984636773e-07,12.550943,38515.1836009977,0.0
Kuwait,3.3852726530982274e-08,20.508173,51561.3638127917,2.0
Sri Lanka,3.864020601715297e-07,0.88446397,14460.7414188157,3.0
Lithuania,1.3228429699974056e-06,4.366298,50914.8638146666,0.0
Luxembourg,1.5930308809627417e-06,10.5150585,139466.401466696,2.0
Latvia,2.5241383103100225e-06,3.4600034,41491.5106686408,0.0
Morocco,2.3385111861436943e-07,1.82082,9842.888671875,3.0
Mexico,5.880503886245079e-07,3.7199361,24789.6755981683,3.0
North Macedonia,1.1780687990476066e-06,4.0665092,24390.4873543927,3.0
Malaysia,1.024252342219496e-06,8.2224455,36416.5401853099,0.0
North America,3.943442450540482e-06,10.12815,80716.5426668838,0.0
Netherlands,3.2534377327171935e-06,6.558991,78305.2888358968,0.0
Norway,2.7337743699989527e-05,7.0484023,100928.354559088,1.0
New Zealand,7.478178505102335e-06,5.8226275,53440.1310147173,0.0
Oman,3.160042770547578e-07,15.5492115,42519.7049918962,2.0
Pakistan,1.7650358487428682e-07,0.8107599,6036.65076923802,3.0
Peru,9.73808877527628e-07,1.6505452,16974.2420029886,3.0
Philippines,2.240117461042425e-07,1.3454357,10988.6300412045,3.0
Poland,1.265862107849536e-06,7.4628654,46570.4702655552,0.0
Portugal,3.2400677092284547e-06,3.5690997,47331.0982975007,0.0
Qatar,5.477162925747883e-07,38.842007,128918.549288257,2.0
Romania,1.469751629622195e-06,3.569303,45777.0387317408,0.0
Russian Federation,1.45382118882014e-06,12.485692,44120.14453125,0.0
Saudi Arabia,1.7343653067980525e-07,22.132036,61102.915372338,2.0
Singapore,2.988874802962258e-07,8.507941,141553.47299754,2.0
Slovenia,3.005336212738645e-06,5.347735,53952.2047300024,0.0
Sweden,1.089550816617682e-05,3.464577,67198.0200377525,0.0
Thailand,4.151450770116803e-07,3.6873055,23465.0631354173,3.0
Turkmenistan,1.372813512721541e-09,8.603915,19828.9248461199,3.0
Trinidad and Tobago,4.5740067714312875e-09,22.834675,35188.5349159275,2.0
Turkey,1.6165416119231702e-06,4.9510155,42326.1644386964,0.0
Ukraine,5.408225875203232e-07,3.6164997,17630.125,3.0
United States,2.9072082327064014e-06,14.299027,82769.4122114214,2.0
Uzbekistan,2.0521031079419348e-07,3.4995937,11106.9715934786,3.0
World,1.1149258992429396e-06,4.6703916,22850.3582274532,3.0
South Africa,3.1757400575178433e-07,6.3578267,15194.1991761106,3.0
